t;x;F
0.833000;0.110142;7.788787
0.834000;0.110564;7.786450
0.835000;0.110988;7.784115
0.836000;0.111413;7.781780
0.837000;0.111839;7.779446
0.838000;0.112266;7.777112
0.839000;0.112694;7.774779
0.840000;0.113123;7.772447
0.841000;0.113553;7.770116
0.842000;0.113984;7.767785
0.843000;0.114417;7.765455
0.844000;0.114850;7.763126
0.845000;0.115284;7.760797
0.846000;0.115720;7.758470
0.847000;0.116157;7.756142
0.848000;0.116594;7.753816
0.849000;0.117033;7.751490
0.850000;0.117473;7.749165
0.851000;0.117914;7.746841
0.852000;0.118356;7.744517
0.853000;0.118799;7.742194
0.854000;0.119243;7.739872
0.855000;0.119689;7.737550
0.856000;0.120135;7.735229
0.857000;0.120583;7.732909
0.858000;0.121031;7.730589
0.859000;0.121481;7.728270
0.860000;0.121932;7.725952
0.861000;0.122383;7.723635
0.862000;0.122836;7.721318
0.863000;0.123290;7.719002
0.864000;0.123746;7.716687
0.865000;0.124202;7.714372
0.866000;0.124659;7.712058
0.867000;0.125118;7.709745
0.868000;0.125577;7.707432
0.869000;0.126038;7.705120
0.870000;0.126500;7.702809
0.871000;0.126963;7.700499
0.872000;0.127427;7.698189
0.873000;0.127892;7.695880
0.874000;0.128358;7.693571
0.875000;0.128825;7.691264
0.876000;0.129294;7.688957
0.877000;0.129763;7.686650
0.878000;0.130234;7.684345
0.879000;0.130706;7.682040
0.880000;0.131179;7.679735
0.881000;0.131653;7.677432
0.882000;0.132128;7.675129
0.883000;0.132604;7.672827
0.884000;0.133082;7.670525
0.885000;0.133560;7.668224
0.886000;0.134040;7.665924
0.887000;0.134521;7.663625
0.888000;0.135003;7.661326
0.889000;0.135486;7.659028
0.890000;0.135970;7.656731
0.891000;0.136455;7.654434
0.892000;0.136942;7.652138
0.893000;0.137429;7.649843
0.894000;0.137918;7.647548
0.895000;0.138408;7.645254
0.896000;0.138899;7.642961
0.897000;0.139391;7.640668
0.898000;0.139885;7.638377
0.899000;0.140379;7.636085
0.900000;0.140875;7.633795
0.901000;0.141371;7.631505
0.902000;0.141869;7.629216
0.903000;0.142368;7.626928
0.904000;0.142868;7.624640
0.905000;0.143370;7.622353
0.906000;0.143872;7.620066
0.907000;0.144376;7.617781
0.908000;0.144880;7.615496
0.909000;0.145386;7.613211
0.910000;0.145893;7.610928
0.911000;0.146402;7.608645
0.912000;0.146911;7.606363
0.913000;0.147422;7.604081
0.914000;0.147933;7.601800
0.915000;0.148446;7.599520
0.916000;0.148960;7.597241
0.917000;0.149475;7.594962
0.918000;0.149992;7.592684
0.919000;0.150509;7.590406
0.920000;0.151028;7.588129
0.921000;0.151548;7.585853
0.922000;0.152069;7.583578
0.923000;0.152591;7.581303
0.924000;0.153114;7.579029
0.925000;0.153639;7.576756
0.926000;0.154165;7.574483
0.927000;0.154692;7.572211
0.928000;0.155220;7.569940
0.929000;0.155749;7.567669
0.930000;0.156279;7.565399
